age_participant,age_contact,avg_daily_contacts
05-09,05-09,2.25
05-09,10-14,0.61
05-09,15-19,0.42
05-09,20-24,0.24
05-09,25-29,0.43
05-09,30-34,0.66
05-09,35-39,0.77
05-09,40-44,0.72
05-09,45-49,0.38
05-09,50-54,0.23
05-09,55-59,0.26
05-09,60-64,0.22
05-09,65-69,0.18
10-14,05-09,0.35
10-14,10-14,3.58
10-14,15-19,0.93
10-14,20-24,0.25
10-14,25-29,0.25
10-14,30-34,0.34
10-14,35-39,0.65
10-14,40-44,0.97
10-14,45-49,0.44
10-14,50-54,0.37
10-14,55-59,0.15
10-14,60-64,0.19
10-14,65-69,0.19
15-19,05-09,0.18
15-19,10-14,0.69
15-19,15-19,4.19
15-19,20-24,1.29
15-19,25-29,0.36
15-19,30-34,0.22
15-19,35-39,0.6
15-19,40-44,0.69
15-19,45-49,0.68
15-19,50-54,0.39
15-19,55-59,0.26
15-19,60-64,0.12
15-19,65-69,0.15
20-24,05-09,0.03
20-24,10-14,0.12
20-24,15-19,0.9
20-24,20-24,2.59
20-24,25-29,1.14
20-24,30-34,0.45
20-24,35-39,0.45
20-24,40-44,0.47
20-24,45-49,0.63
20-24,50-54,0.41
20-24,55-59,0.26
20-24,60-64,0.11
20-24,65-69,0.08
25-29,05-09,0.17
25-29,10-14,0.16
25-29,15-19,0.28
25-29,20-24,1.43
25-29,25-29,1.79
25-29,30-34,1.09
25-29,35-39,0.77
25-29,40-44,0.6
25-29,45-49,0.77
25-29,50-54,0.59
25-29,55-59,0.59
25-29,60-64,0.49
25-29,65-69,0.23
30-34,05-09,0.26
30-34,10-14,0.14
30-34,15-19,0.19
30-34,20-24,0.44
30-34,25-29,0.98
30-34,30-34,1.49
30-34,35-39,1.18
30-34,40-44,0.98
30-34,45-49,0.32
30-34,50-54,0.67
30-34,55-59,0.35
30-34,60-64,0.42
30-34,65-69,0.19
35-39,05-09,0.49
35-39,10-14,0.62
35-39,15-19,0.46
35-39,20-24,0.22
35-39,25-29,0.3
35-39,30-34,0.74
35-39,35-39,1.43
35-39,40-44,1.03
35-39,45-49,0.59
35-39,50-54,0.36
35-39,55-59,0.28
35-39,60-64,0.36
35-39,65-69,0.3
40-44,05-09,0.23
40-44,10-14,0.67
40-44,15-19,1.11
40-44,20-24,0.57
40-44,25-29,0.38
40-44,30-34,0.57
40-44,35-39,0.95
40-44,40-44,1.23
40-44,45-49,0.93
40-44,50-54,0.47
40-44,55-59,0.22
40-44,60-64,0.32
40-44,65-69,0.2
45-49,05-09,0.09
45-49,10-14,0.35
45-49,15-19,1.21
45-49,20-24,0.45
45-49,25-29,0.57
45-49,30-34,0.59
45-49,35-39,0.7
45-49,40-44,1.05
45-49,45-49,1.23
45-49,50-54,0.82
45-49,55-59,0.41
45-49,60-64,0.28
45-49,65-69,0.15
50-54,05-09,0.2
50-54,10-14,0.16
50-54,15-19,0.27
50-54,20-24,0.47
50-54,25-29,0.6
50-54,30-34,0.54
50-54,35-39,0.58
50-54,40-44,0.71
50-54,45-49,0.99
50-54,50-54,1.18
50-54,55-59,0.79
50-54,60-64,0.42
50-54,65-69,0.18
55-59,05-09,0.11
55-59,10-14,0.07
55-59,15-19,0.26
55-59,20-24,0.33
55-59,25-29,0.45
55-59,30-34,0.61
55-59,35-39,0.57
55-59,40-44,0.59
55-59,45-49,0.62
55-59,50-54,0.79
55-59,55-59,1.12
55-59,60-64,0.54
55-59,65-69,0.3
60-64,05-09,0.14
60-64,10-14,0.07
60-64,15-19,0.11
60-64,20-24,0.19
60-64,25-29,0.32
60-64,30-34,0.31
60-64,35-39,0.36
60-64,40-44,0.49
60-64,45-49,0.44
60-64,50-54,0.4
60-64,55-59,0.75
60-64,60-64,0.85
60-64,65-69,0.52
65-69,05-09,0.11
65-69,10-14,0.18
65-69,15-19,0.15
65-69,20-24,0.15
65-69,25-29,0.19
65-69,30-34,0.32
65-69,35-39,0.42
65-69,40-44,0.62
65-69,45-49,0.38
65-69,50-54,0.45
65-69,55-59,0.35
65-69,60-64,0.8
65-69,65-69,0.91
