"2000","10-14 YEARS","19708703"
"2000","15-19 YEARS","18930676"
"2000","2-4 YEARS","11641514"
"2000","20-29 YEARS","36639593"
"2000","30-39 YEARS","40694882"
"2000","40-49 YEARS","41941662"
"2000","5-9 YEARS","19748082"
"2000","50-59 YEARS","30834510"
"2000","60-69 YEARS","21050642"
"2000","70-79 YEARS","16718481"
"2000","80+ YEARS","9056974"
"2000","<2 YEARS","7710425"
"2000","TOTAL","274676144"
"2001","10-14 YEARS","20370745"
"2001","15-19 YEARS","19466360"
"2001","2-4 YEARS","11953398"
"2001","20-29 YEARS","37270438"
"2001","30-39 YEARS","41330740"
"2001","40-49 YEARS","43728266"
"2001","5-9 YEARS","20296434"
"2001","50-59 YEARS","32971186"
"2001","60-69 YEARS","21950901"
"2001","70-79 YEARS","17243268"
"2001","80+ YEARS","9505067"
"2001","<2 YEARS","7900901"
"2001","TOTAL","283987704"
"2002","10-14 YEARS","21348594"
"2002","15-19 YEARS","20648230"
"2002","2-4 YEARS","11592690"
"2002","20-29 YEARS","38747703"
"2002","30-39 YEARS","42149253"
"2002","40-49 YEARS","44041012"
"2002","5-9 YEARS","20323563"
"2002","50-59 YEARS","33534072"
"2002","60-69 YEARS","21016946"
"2002","70-79 YEARS","15859748"
"2002","80+ YEARS","9811672"
"2002","<2 YEARS","7703238"
"2002","TOTAL","286776721"
"2003","10-14 YEARS","21031888"
"2003","15-19 YEARS","20512934"
"2003","2-4 YEARS","11761430"
"2003","20-29 YEARS","38718393"
"2003","30-39 YEARS","41659274"
"2003","40-49 YEARS","44840865"
"2003","5-9 YEARS","20029218"
"2003","50-59 YEARS","34759604"
"2003","60-69 YEARS","21970350"
"2003","70-79 YEARS","16384191"
"2003","80+ YEARS","10863803"
"2003","<2 YEARS","8105997"
"2003","TOTAL","290637947"
"2004","10-14 YEARS","21066138"
"2004","15-19 YEARS","21044708"
"2004","2-4 YEARS","11857933"
"2004","20-29 YEARS","39668688"
"2004","30-39 YEARS","42595622"
"2004","40-49 YEARS","44724482"
"2004","5-9 YEARS","20017501"
"2004","50-59 YEARS","35252169"
"2004","60-69 YEARS","22244294"
"2004","70-79 YEARS","16235318"
"2004","80+ YEARS","10383436"
"2004","<2 YEARS","7837599"
"2004","TOTAL","292927888"
"2005","10-14 YEARS","20941989"
"2005","15-19 YEARS","21010260"
"2005","2-4 YEARS","11982502"
"2005","20-29 YEARS","40373495"
"2005","30-39 YEARS","41578835"
"2005","40-49 YEARS","44757321"
"2005","5-9 YEARS","19871047"
"2005","50-59 YEARS","36546289"
"2005","60-69 YEARS","23405683"
"2005","70-79 YEARS","16212122"
"2005","80+ YEARS","10537892"
"2005","<2 YEARS","7915386"
"2005","TOTAL","295132821"
"2006","10-14 YEARS","20894507"
"2006","15-19 YEARS","21226201"
"2006","2-4 YEARS","12078409"
"2006","20-29 YEARS","41022468"
"2006","30-39 YEARS","41077697"
"2006","40-49 YEARS","45059178"
"2006","5-9 YEARS","19820492"
"2006","50-59 YEARS","37670209"
"2006","60-69 YEARS","24236782"
"2006","70-79 YEARS","16172084"
"2006","80+ YEARS","10785516"
"2006","<2 YEARS","7969225"
"2006","TOTAL","298012768"
"2007","10-14 YEARS","20673540"
"2007","15-19 YEARS","21315676"
"2007","2-4 YEARS","12275071"
"2007","20-29 YEARS","41461564"
"2007","30-39 YEARS","40990531"
"2007","40-49 YEARS","45117221"
"2007","5-9 YEARS","19852550"
"2007","50-59 YEARS","38877404"
"2007","60-69 YEARS","25025179"
"2007","70-79 YEARS","16225437"
"2007","80+ YEARS","11048827"
"2007","<2 YEARS","8098101"
"2007","TOTAL","300961101"
"2008","10-14 YEARS","20540581"
"2008","15-19 YEARS","21447266"
"2008","2-4 YEARS","12451645"
"2008","20-29 YEARS","42081018"
"2008","30-39 YEARS","40944833"
"2008","40-49 YEARS","44986905"
"2008","5-9 YEARS","19985922"
"2008","50-59 YEARS","40057069"
"2008","60-69 YEARS","25777298"
"2008","70-79 YEARS","16292854"
"2008","80+ YEARS","11231676"
"2008","<2 YEARS","8212526"
"2008","TOTAL","304009593"
"2009","10-14 YEARS","20369744"
"2009","15-19 YEARS","21478182"
"2009","2-4 YEARS","12664122"
"2009","20-29 YEARS","42284553"
"2009","30-39 YEARS","40883734"
"2009","40-49 YEARS","44561101"
"2009","5-9 YEARS","20195407"
"2009","50-59 YEARS","40664312"
"2009","60-69 YEARS","27169618"
"2009","70-79 YEARS","16428294"
"2009","80+ YEARS","11448106"
"2009","<2 YEARS","8353369"
"2009","TOTAL","306500542"
"2010","10-14 YEARS","20226964"
"2010","15-19 YEARS","21439813"
"2010","2-4 YEARS","12842610"
"2010","20-29 YEARS","42517039"
"2010","30-39 YEARS","40906073"
"2010","40-49 YEARS","44022537"
"2010","5-9 YEARS","20421410"
"2010","50-59 YEARS","41378668"
"2010","60-69 YEARS","28296845"
"2010","70-79 YEARS","16712314"
"2010","80+ YEARS","11671528"
"2010","<2 YEARS","8471696"
"2010","TOTAL","308907497"
